KINVENT Physio 2.19.1,Devices: ,P126936 (FW 3.016) (250 Hz),P126695 (FW 3.016) (250 Hz)
Eyes Condition: ,Closed
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-33.969
Lateral Mean Cop Position (mm),-4.404
Longitudinal Standard Deviation (mm),10.232
Lateral Standard Deviation (mm),4.956
Ellipse Surface (mm²),800.532
Total Displacement (mm),1795.871
Total Displacement AP (mm),1488.478
Total Displacement ML (mm),730.195
Mean Velocity (mm/s),59.553
Mean Velocity AP (mm/s),49.359
Mean Velocity ML (mm/s),24.214
Longitudinal Amplitude (mm/s),45.723
Lateral Amplitude (mm/s),26.596
Amplitude Ratio,0.582
Phase Plane AP (mm),55.020
Phase Plane ML (mm),25.698
Max Distance AP (mm),57.130
Max Distance ML (mm),21.252
,Heel,Tip
Weight Distribution (%),61.6,38.4

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.576,16.412542022402896,12.476219290804501,7.210720971763673,9.042291235251012,,0.6185,0.4538,
0.58,16.384932889760311,12.463151724055257,7.218203959524961,9.050685825492017,,0.6181,0.4539,
0.584,16.353668389987980,12.447828682947367,7.224427765430411,9.056554305746142,,0.6176,0.4540,
0.588,16.319935729112636,12.428598430000882,7.229491673433325,9.057190373042143,,0.6172,0.4541,
0.592,16.283200741688546,12.404260350872041,7.232965474940051,9.051683029002962,,0.6168,0.4542,
0.596,16.243118701890523,12.375968162119129,7.233394908868325,9.042117216485430,,0.6164,0.4543,
0.6,16.201255586989756,12.346952758621811,7.229427351667885,9.030740195369807,,0.6161,0.4544,
0.604,16.160138821265384,12.318594422330115,7.221107676539869,9.019485159952431,,0.6159,0.4544,
0.608,16.120751344009633,12.289823360032539,7.209706316740210,9.009502275727598,,0.6157,0.4544,
0.612,16.082656353868479,12.262583597323577,7.197298721220533,9.000209131124823,,0.6155,0.4544,
0.616,16.045071822753364,12.239257868852295,7.185424645276123,8.989081676352328,,0.6153,0.4544,
0.62,16.007079141958314,12.217104217218315,7.173454759060848,8.973409555720814,,0.6152,0.4545,
0.624,15.968685629593200,12.192818182266775,7.160715192560085,8.954391257126371,,0.6152,0.4546,
0.628,15.931018372785790,12.168061416161454,7.148712564621851,8.936320566253983,,0.6151,0.4546,
0.632,15.895473135285911,12.145482601366989,7.137367238471590,8.920766812477293,,0.6151,0.4547,
0.636,15.862726620237188,12.124712797920893,7.124994228413436,8.906258642466312,,0.6150,0.4547,
0.6398999999761581,15.832984986494745,12.105175949810066,7.112651228815268,8.892562695036069,,0.6150,0.4547,
0.6438999999761581,15.807689964765965,12.088045271329705,7.100927753263004,8.879930915152146,,0.6150,0.4547,
0.6478999999761581,15.788068210408452,12.075601658333362,7.088564703065773,8.867533296176715,,0.6151,0.4547,
